model,n,exact,token,tf_token,ce
MIN,4,1.0,1.0,1.0,5.529721125441256e-09
MIN,6,1.0,1.0,1.0,3.4924593772522883e-10
MIN,8,1.0,1.0,1.0,4.3655742215653603e-11
MIN,10,1.0,1.0,1.0,1.1641531488804091e-11
MIN,11,1.0,1.0,1.0,7.408246932572027e-11
MIN,12,1.0,1.0,1.0,2.910382490561858e-10
MIN,13,1.0,1.0,1.0,2.64326700971651e-07
MIN,14,1.0,1.0,1.0,2.6323581536757956e-08
MIN,16,0.998046875,0.999267578125,0.9998779296875,0.00025365789770148695
MIN,18,0.994140625,0.9978840947151184,0.9996744990348816,0.000912563584279269
MIN,20,0.982421875,0.994189441204071,0.9991211295127869,0.0038898580241948366
MIN,24,0.8681640625,0.9608968496322632,0.9940185546875,0.02479635737836361
MIN,28,0.58984375,0.8844866752624512,0.9816895127296448,0.09001915901899338
MIN,32,0.2666015625,0.78387451171875,0.964813232421875,0.2007673680782318
HIST,4,1.0,1.0,1.0,4.5922320168756414e-07
HIST,6,1.0,1.0,1.0,1.5087407234659622e-07
HIST,8,1.0,1.0,1.0,1.597943821707304e-07
HIST,10,1.0,1.0,1.0,6.690394798170018e-07
HIST,11,1.0,1.0,1.0,1.6718906408641487e-05
HIST,12,0.9990234375,0.9999186396598816,0.9999186396598816,0.0007874101283960044
HIST,13,0.9482421875,0.9933143258094788,0.9957181811332703,0.013787738047540188
HIST,14,0.7021484375,0.9524275064468384,0.9682617783546448,0.0885700136423111
HIST,16,0.0341796875,0.79803466796875,0.83502197265625,0.7720836400985718
HIST,18,0.0,0.7195095419883728,0.7834743857383728,1.7355366945266724
HIST,20,0.0,0.6654297113418579,0.7060546875,2.6247177124023438
HIST,24,0.0,0.575927734375,0.647705078125,4.087376117706299
HIST,28,0.0,0.4974539875984192,0.59619140625,5.21837854385376
HIST,32,0.0,0.451690673828125,0.575439453125,6.00343132019043
NONE,4,1.0,1.0,1.0,3.2014199624619266e-10
NONE,6,1.0,1.0,1.0,1.9402552481340152e-11
NONE,8,1.0,1.0,1.0,2.910382213006102e-10
NONE,10,1.0,1.0,1.0,5.820764981123716e-10
NONE,11,1.0,1.0,1.0,1.6298137284209702e-09
NONE,12,1.0,1.0,1.0,3.6185736629334997e-09
NONE,13,1.0,1.0,1.0,8.140109031273823e-09
NONE,14,1.0,1.0,1.0,7.256273306666117e-07
NONE,16,0.9970703125,0.99896240234375,0.99981689453125,0.0003229650901630521
NONE,18,0.951171875,0.9842665195465088,0.9972873330116272,0.015534922480583191
NONE,20,0.8310546875,0.9493164420127869,0.9915527701377869,0.06148070842027664
NONE,24,0.3115234375,0.8048909902572632,0.9672445058822632,0.30937719345092773
NONE,28,0.0595703125,0.7002999782562256,0.9376046657562256,0.5857662558555603
NONE,32,0.001953125,0.609954833984375,0.908538818359375,0.8246757388114929
