model,n,exact,token,tf_token,ce
MIN,10,1.0,1.0,1.0,3.7252867457482353e-10
MIN,16,0.998046875,0.999267578125,0.9998779296875,0.0008438061340712011
MIN,20,0.99609375,0.9986327886581421,0.999804675579071,0.0006275606574490666
MIN,24,0.859375,0.958251953125,0.9935709834098816,0.026262881234288216
MIN,32,0.296875,0.78857421875,0.965087890625,0.19808129966259003
MIN,40,0.005859375,0.612255871295929,0.9312988519668579,0.507892370223999
MIN,48,0.0,0.4720865786075592,0.89501953125,0.9129388928413391
MIN,64,0.0,0.395751953125,0.86328125,1.586020827293396
MIN,80,0.0,0.36259764432907104,0.856494128704071,1.9574453830718994
MIN,100,0.0,0.32304686307907104,0.8402734398841858,2.253044843673706
MIN,128,0.0,0.305419921875,0.833160400390625,2.5125250816345215
HIST,10,1.0,1.0,1.0,5.310815254233603e-07
HIST,16,0.03125,0.7972412109375,0.8369140625,0.7462841272354126
HIST,20,0.0,0.669140636920929,0.71240234375,2.548801898956299
HIST,24,0.0,0.5769856572151184,0.6500651240348816,4.0677409172058105
HIST,32,0.0,0.4569091796875,0.5782470703125,5.952988147735596
HIST,40,0.0,0.4046874940395355,0.5455077886581421,7.017894744873047
HIST,48,0.0,0.3801676332950592,0.5242512822151184,7.739111423492432
HIST,64,0.0,0.346832275390625,0.498626708984375,8.673370361328125
HIST,80,0.0,0.32763671875,0.4869628846645355,9.08538818359375
HIST,100,0.0,0.3083203136920929,0.47648438811302185,9.472146987915039
HIST,128,0.0,0.2957763671875,0.469818115234375,9.812416076660156
NONE,10,1.0,1.0,1.0,2.3283061589829401e-10
NONE,16,1.0,1.0,1.0,9.112414409173653e-05
NONE,20,0.8359375,0.9501953125,0.9917968511581421,0.0644792765378952
NONE,24,0.287109375,0.79150390625,0.965087890625,0.3240954875946045
NONE,32,0.005859375,0.60662841796875,0.90948486328125,0.8214598894119263
NONE,40,0.0,0.4537597596645355,0.871630847454071,1.2377712726593018
NONE,48,0.0,0.3624674379825592,0.8435465693473816,1.6915966272354126
NONE,64,0.0,0.350067138671875,0.826873779296875,2.069718599319458
NONE,80,0.0,0.32988280057907104,0.8221191167831421,2.279135227203369
NONE,100,0.0,0.29695311188697815,0.8069531321525574,2.4604179859161377
NONE,128,0.0,0.287567138671875,0.803466796875,2.580190896987915
