,,rLLC,chain std,#params
MIN,embeddings,7.385102000940846e-09,1.2868231193141754e-09,2688.0
MIN,attention,0.8407310113869,0.061501634447788854,132096.0
MIN,MLPs,1.7478165716018217e-05,1.4226513438536708e-05,263424.0
MIN,state + read-out,0.18241647575669798,0.03551651656581266,6997.0
HIST,embeddings,3.5553931677611525e-06,3.481557773240807e-07,2688.0
HIST,attention,0.02527661828850384,0.007931487348362642,132096.0
HIST,MLPs,0.0001369586842513096,1.7504835608098175e-05,263424.0
HIST,state + read-out,0.15808703255537596,0.015588541303309238,6997.0
NONE,embeddings,8.712884564634385e-10,1.0796517601068098e-09,2688.0
NONE,attention,0.015583680411569403,0.0068001204753582655,132096.0
NONE,MLPs,7.520539576539335e-09,1.3093352224694073e-09,263424.0
NONE,state + read-out,1.586945500567985e-08,1.6394638603251166e-09,6997.0
